file,captured_at,label,delta_abs,theta_abs,alpha_abs,beta_abs,gamma_abs,delta_rel,theta_rel,alpha_rel,beta_rel,gamma_rel
samples_AF7_2026-01-20T07-56-27-206Z.json,2026-01-20T07-56-27-206Z,AF7,18.67700844743371,12.097332922901893,12.623016509142566,73.96174106785914,65.60281686215988,0.10208139964428718,0.06611940451857655,0.06899259036118668,0.40424664739993893,0.3585599580760105
samples_AF7_2026-01-20T07-57-27-329Z.json,2026-01-20T07-57-27-329Z,AF7,26.13743505257209,8.36528678321228,7.183213602454676,97.56072098580476,122.54903349637999,0.09983905793298929,0.031953493144807,0.027438242412004977,0.372659767681659,0.4681094388285398
samples_AF7_2026-01-20T07-58-27-459Z.json,2026-01-20T07-58-27-459Z,AF7,15.997904925828793,11.079885755591722,8.7280937017536,99.18362933709193,131.69764354177096,0.05998753404578024,0.04154637917080137,0.0327278365833631,0.37191003254662824,0.49382821765342716
samples_AF7_2026-01-20T07-59-27-195Z.json,2026-01-20T07-59-27-195Z,AF7,690.5160549358081,9.326296731861571,5.264555634967257,51.95594479530169,40.724479586308945,0.865539007091058,0.011690204095084306,0.006598946142517704,0.06512505617958983,0.051046786491750276
samples_AF7_2026-01-20T08-00-27-195Z.json,2026-01-20T08-00-27-195Z,AF7,15.430980635549158,12.066237429962008,7.243949911824462,61.431219393321186,62.77082978243383,0.09708486409134637,0.07591539699577159,0.04557570962494893,0.38649789839192683,0.3949261308960063
samples_AF7_2026-01-20T08-01-27-195Z.json,2026-01-20T08-01-27-195Z,AF7,30.277998489875742,13.317785097991564,9.718826264505255,118.10700119363993,125.91180769213719,0.10183180423637624,0.044790744190514396,0.032686626029966234,0.39722074193635226,0.4234700836067908
samples_AF7_2026-01-20T08-02-27-196Z.json,2026-01-20T08-02-27-196Z,AF7,10.66584904255883,5.880513477123099,5.482409260041122,61.87448594167034,120.43202867754133,0.05219778350830371,0.028778746836913217,0.026830457708305555,0.30280861926544334,0.5893843926810342
samples_AF7_2026-01-20T08-03-27-196Z.json,2026-01-20T08-03-27-196Z,AF7,19.68510612072918,15.208569117355658,5.043202271019198,49.35882854401001,140.09804999665783,0.08581360913964056,0.06629896723978762,0.021984915186292028,0.21517075875988778,0.610731749674392
samples_AF7_2026-01-20T08-04-27-196Z.json,2026-01-20T08-04-27-196Z,AF7,207.22395882573002,15.343756928450492,6.954044678505929,32.03911269824337,68.94274435889528,0.6269945255050335,0.0464253827083235,0.021040752084113015,0.09694027841988666,0.20859906128264313
samples_AF7_2026-01-20T08-05-27-200Z.json,2026-01-20T08-05-27-200Z,AF7,5.023414824511654,4.099943993493625,3.3679912950768385,32.7684583660744,52.89707127746334,0.051177409438515356,0.041769298327936286,0.03431233045944185,0.33383761227255637,0.53890334950155
samples_AF7_2026-01-20T08-06-27-197Z.json,2026-01-20T08-06-27-197Z,AF7,7.821732194827736,7.164645127391134,4.86180038922848,40.383445864593476,90.49978539840717,0.05189185351643383,0.04753252939210357,0.03225472661807767,0.2679165950836383,0.6004042953897465
samples_AF7_2026-01-20T08-07-27-197Z.json,2026-01-20T08-07-27-197Z,AF7,43.586869317007306,23.565993843285113,6.669226034265908,39.91524286291252,32.486157177465465,0.2980839093982813,0.16116421490545743,0.045609813232882906,0.27297421961242474,0.2221678428509538
